R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
PAO,urb,comm,perm,sr21_std,glass,SSP2,2030,136.64011740507001,0,0.501914434508,0.8074542147965562,0,0.0029659878321772956
PAO,urb,comm,perm,sr21_std,glass,SSP2,2035,201.71232198312,0,1.191980425594,1.1919886169215697,0,0.007043828978480928
PAO,urb,comm,perm,sr21_std,glass,SSP2,2040,255.6293650174,0,1.778282765686,1.5106032703204353,0,0.01050849444161821
PAO,urb,comm,perm,sr21_std,glass,SSP2,2045,299.90706990971,0,2.252165609506,1.7722557053137855,0,0.013308833806285935
PAO,urb,comm,perm,sr21_std,glass,SSP2,2050,335.97606596002,0,2.613196924668,1.9854000104958778,0,0.015442294042103063
PAO,urb,comm,perm,sr21_std,glass,SSP2,2055,365.15158054299,0,2.867025680132,2.1578083241468393,0,0.016942256881189194
PAO,urb,comm,perm,sr21_std,glass,SSP2,2060,388.61569241940003,0,3.023404173778,2.296465962846747,0,0.0178663520605257
PAO,urb,comm,perm,sr21_std,glass,SSP2,2070,424.20607782078,0,3.023212700431,2.5067819904112243,0,0.017865220577590872
PAO,urb,comm,perm,sr21_std,glass,SSP2,2080,446.72836296649,0,2.953185284053,2.639874045754252,0,0.01745140409690018
PAO,urb,comm,perm,sr21_std,glass,SSP2,2090,461.32791124857,0,2.697476507835,2.7261478796645697,0,0.015940331558038087
PAO,urb,comm,perm,sr21_std,glass,SSP2,2100,471.40972878721,0,2.345934053329,2.7857248634888143,0,0.013862944316564128
PAO,urb,comm,perm,sr21_std,steel,SSP2,2025,58.85601233957,0,0,6.3143633287267384,0,0
PAO,urb,comm,perm,sr21_std,steel,SSP2,2030,136.64011740507001,0,0.501914434508,14.659425813587047,0,0.05384785637754079
PAO,urb,comm,perm,sr21_std,steel,SSP2,2035,201.71232198312,0,1.191980425594,21.64069290889099,0,0.12788153985876768
PAO,urb,comm,perm,sr21_std,steel,SSP2,2040,255.6293650174,0,1.778282765686,27.425179247598432,0,0.19078294701602067
PAO,urb,comm,perm,sr21_std,steel,SSP2,2045,299.90706990971,0,2.252165609506,32.175509841508145,0,0.24162343607032227
PAO,urb,comm,perm,sr21_std,steel,SSP2,2050,335.97606596002,0,2.613196924668,36.04516965892911,0,0.2803566564561731
PAO,urb,comm,perm,sr21_std,steel,SSP2,2055,365.15158054299,0,2.867025680132,39.17526278036847,0,0.30758865742883595
PAO,urb,comm,perm,sr21_std,steel,SSP2,2060,388.61569241940003,0,3.023404173778,41.692608446240804,0,0.32436571361101224
PAO,urb,comm,perm,sr21_std,steel,SSP2,2070,424.20607782078,0,3.023212700431,45.51092055235396,0,0.32434517140584634
